Distrito,electores
Barranco,11604
Breña,22721
Carabayllo,30418
Chaclacayo,8111
Chorrillos,47107
Cieneguilla,3993
Comas,60134
El Agustino,21626
Independencia,25923
Jesús María,32604
La Molina,54075
La Victoria,39609
Lima,62332
Lince,22279
Los Olivos,52053
Lurigancho-Chosica,19396
Lurín,11320
Magdalena del Mar,21603
Miraflores,46868
Pachacámac,7177
Pucusana,799
Pueblo Libre,28940
Puente Piedra,41235
Punta Hermosa,1473
Punta Negra,1147
Rímac,31536
San Bartolo,903
San Borja,47091
San Isidro,29441
San Juan de Lurigancho,111039
San Juan de Miraflores,54955
San Luis,13953
San Martín de Porres,87400
San Miguel,42193
Santa Anita,25927
Santa María del Mar,416
Santa Rosa,1575
Santiago de Surco,104387
Surquillo,25644
Villa El Salvador,44354
Villa María del Triunfo,51512
